shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
248_0_ASC_shp,38.70768210,-9.19665910,432,8560
248_0_DESC_shp,38.73524620,-9.16543020,432,9483
66_0_DESC_shp,38.70809370,-9.13768810,830,17864
279_0_CIRC_shp,38.73494450,-9.20430710,291,5301
193_2_DESC_shp,38.69924070,-9.23757870,110,1731
193_2_ASC_shp,38.70024640,-9.24638700,110,2100
201_0_ASC_shp,38.74562940,-9.18173810,223,4583
201_0_DESC_shp,38.73856550,-9.21402520,223,3343
103_4_ASC_shp,38.70900150,-9.21394290,715,14719
61_1_DESC_shp,38.74103960,-9.16884850,434,7864
165_0_ASC_shp,38.77032420,-9.17680820,310,6740
165_0_DESC_shp,38.77523050,-9.16433450,310,7797
200_0_ASC_shp,38.77509260,-9.09937580,493,11963
200_0_DESC_shp,38.72567050,-9.15095300,493,11362
250_0_CIRC_shp,38.71666850,-9.16120730,167,3660
201_2_ASC_shp,38.73572670,-9.21444980,397,7912
201_2_DESC_shp,38.74961550,-9.18694690,397,7154
199_1_ASC_shp,38.75787460,-9.15327670,401,7380
199_1_DESC_shp,38.74457670,-9.14755710,401,7086
100_0_DESC_shp,38.78391220,-9.09430330,119,2798
